s	Axis1	Axis2	Axis3
ERR912086	0.0119930000169611	-0.052206231997924	-0.00272703708988885
ERR912087	0.0141376430398013	-0.0255788875451459	0.0536018584119672
ERR912088	0.018755898499529	-0.0262160498905124	0.0564443188279797
ERR912089	0.0160380758544651	-0.00798753617595659	0.0128702689570662
ERR912090	0.0224053112110041	0.0107493214463664	-0.0276175156653369
ERR912091	0.0345661884376906	0.0488998080560272	-0.0244190521828714
ERR912092	0.00734529091739674	-0.0804906431217022	-0.022738509162259
ERR912093	0.0436219688724576	0.0663041116575425	0.0606537962789006
ERR912094	0.00789195287516021	-0.0778712379221489	-0.0205479863225628
ERR912095	0.0127704931885519	-0.0632772990535437	-0.0298864389300826
ERR912096	-0.0383742646380618	-0.0177793061931265	-0.019232090140557
ERR912097	0.0210309220294269	-0.0197991800947701	-0.0452363881921779
ERR912098	0.0153350352797469	-0.0307607280692136	0.0203194317553357
ERR912099	0.0242086920952005	-0.000500848023504522	-0.021851222287159
ERR912100	0.0223181086394479	-0.00374776897943149	0.0293064776190213
ERR912101	0.00268716111893385	-0.0636920511640494	-0.00824204475715946
ERR912102	0.00870866894514179	-0.067303516525895	-0.0300758306905399
ERR912103	0.036740697388836	0.0581667732705482	0.0305135034921232
ERR912104	-0.168811846649887	-0.0158061279494478	0.00726999561913642
ERR912105	0.0123356166430804	-0.0628465840509519	-0.0145183218670128
ERR912106	0.0235672581061061	-0.0252628106874422	0.0315813350764583
ERR912107	0.00857492184226565	-0.00842609506725915	0.0568400405765734
ERR912108	-0.0717474409458813	0.0694688167867892	-0.0464931220590398
ERR912109	-0.012684613810354	-0.0482362676911318	-0.0107934338201785
ERR912110	0.0267726320339528	0.101482846505859	0.0580368165772497
ERR912111	0.0608451781760202	0.155846319643573	-0.0152061380322055
ERR912112	0.0413054353594563	0.0425922946605079	0.0855614416245631
ERR912113	-0.0594538712528149	0.0864127107808376	-0.0537009877688082
ERR912114	-0.0907174984625474	-0.025376824875909	-0.031292186467845
ERR912115	0.0151423130039815	0.0097559859553532	-0.0198096408995808
ERR912116	0.0241586964664081	-0.0343903255355491	0.0614723354505847
ERR912117	0.017755432328013	-0.0133509989325944	0.0644189142287589
ERR912118	0.00777944771227615	-0.0905092970502328	-0.0317221586676744
ERR912119	0.0391627369656788	0.0409663105487419	0.0571781393493859
ERR912120	0.000204371184033375	-0.138882115924209	-0.0284604335951645
ERR912121	0.011375164706715	-0.0320369401021001	0.00617752259920194
ERR912122	0.0254086588558283	-0.00392008327827926	-0.0158301210586684
ERR912123	0.0123777717355897	-0.076326208351245	-0.0196194874140394
ERR912124	0.0158290440827477	-0.0160091612022259	-0.0155880126424128
ERR912125	0.00943059213123651	-0.0250844114698713	-0.0120100428344908
ERR912126	-0.172366059600998	0.108760929946489	0.0384485906679886
ERR912127	0.0352530205380747	0.0383989508623938	-0.0288031139466429
ERR912128	-0.00108219167595257	-0.00726706176884288	0.00195565196141354
ERR912129	0.0161689748247023	-0.0357999729817271	0.0236498827982049
ERR912130	-0.0660909369384674	0.0196620998741402	-0.0154533531042053
ERR912131	-0.0734220754204392	-0.0273366094758039	0.0145123056160209
ERR912132	0.0191145120297585	-0.0221603068055212	0.000104117256728888
ERR912133	0.0137924740604681	-0.0603088577260842	-0.0157930641708568
ERR912134	0.0137281731143621	-0.039944845553342	0.0301248948793653
ERR912135	-0.0457290224067033	0.00246199033606399	-0.00482644312793954
ERR912136	0.0244350077003315	0.0185923809993073	0.118963980674758
ERR912137	0.0152039321094977	-0.0405507652493693	0.0453357846245623
ERR912138	0.0458466274883452	0.062222702776538	0.165854506681357
ERR912139	0.0186484606050987	-0.0149942848709725	-0.0100619856730696
ERR912140	0.0161826326295595	-0.0536573447004173	0.00632640416172737
ERR912141	0.017529279360303	-0.0406155626810964	-0.0375937580954626
ERR912142	0.0823357903493532	0.238278851333403	0.0103909933906755
ERR912143	0.0427390186433335	0.0728974395743955	-0.0165632981559922
ERR912144	0.00783853366790064	-0.0328854048819657	0.00691573412484212
ERR912145	0.0408302117845857	0.074873281912264	0.0782890037242663
ERR912146	-0.00415261937957592	-0.0640631207969191	-0.00973727457391589
ERR912147	0.0232952007670769	-0.0312828206655298	0.0128997439671282
ERR912148	0.0325926841944224	0.0426101034355254	-0.037671875681333
ERR912149	-0.0321354442213519	-0.0254942554987339	0.0327099702892788
ERR912150	0.022696886020259	0.12707714359093	-0.127212744203285
ERR912151	0.0137693072824611	-0.0413459038138756	-0.0169972600221689
ERR912152	0.0567709116704655	0.138668447232362	-0.0433260451349693
ERR912153	0.0104095044008462	-0.0677265059512255	-0.0176663147162973
ERR912154	0.0540021083207246	0.135188413433971	-0.0193347176296273
ERR912155	0.00222155321736284	0.030942890411751	-0.00161949184251289
ERR912156	0.0137380325787073	-0.0487379889136842	-0.0228412723389125
ERR912157	0.0187885063789619	-0.0329392229154405	-0.00816751078839576
ERR912158	0.0222889469889606	-0.0254720496907713	-0.00678715900198695
ERR912159	0.0323629548604547	0.0297486665996494	0.0121121219640977
ERR912160	0.0187546859233398	-0.0409551000723191	-0.0249585728352766
ERR912161	0.0225964016497314	0.0183265232509789	0.0362915756858382
