f	Axis1	Axis2	Axis3
ERR912087	-0.0386582227566418	-0.00506136148113506	-0.039302467363545
ERR912088	-0.340992747456435	-0.0885385396737649	0.0675945957623909
ERR912089	-0.0309641145656087	-0.00589667156248487	-0.0590517695339499
ERR912090	-0.0161685279524822	-0.0952468613126098	0.0516412378501029
ERR912091	-0.0125949322142961	0.0112482035289941	-0.0730557268296664
ERR912092	0.252403990215821	-0.0239107672445053	-0.0625494894191304
ERR912093	-0.130785954385624	-0.0344868061560179	0.00287956793614002
ERR912094	0.201912810016556	0.0168545839187549	-0.105280301974223
ERR912095	0.247876079221756	-0.264097570358781	0.257955015462995
ERR912096	0.108729172717512	-0.0401937941541015	0.0748366208702729
ERR912097	0.119407240251441	-0.0320280264548022	-0.034232307928174
ERR912098	0.0817618216558499	-0.0475550738215435	0.0116331594865166
ERR912099	0.115069980594842	-0.110837300626379	0.049563955576071
ERR912100	0.0298716765024787	0.0376668111050405	-0.123055179517026
ERR912101	0.237565717988125	0.0646586443704655	-0.129238898662021
ERR912102	0.0607807848140353	-0.0314705862862735	-0.00699410527162143
ERR912103	-0.261332001663605	-0.0345852477821063	-0.00593597553382058
ERR912104	0.098621992191585	0.14815419636196	0.147923228811597
ERR912105	0.170370113519053	0.0135237164710736	-0.089877639044195
ERR912106	-0.0736318385190081	0.0212508128588915	-0.0960487394251027
ERR912107	-0.0256891329104226	0.00856063093034104	-0.0527073650646283
ERR912108	-0.0134045877859913	0.156909447972132	-0.0134469023956111
ERR912109	0.116476972459456	0.109495065395032	-0.0825216771098107
ERR912110	-0.264662347094748	0.0554937670173936	-0.0326719073888941
ERR912111	-0.374581874774468	-0.0146085559987349	-0.00521154800176787
ERR912112	-0.17684221276342	-0.0624013164568667	0.0330351867143324
ERR912113	-0.0166943453419172	0.0836599737750958	0.0598505349711069
ERR912114	-0.118865061287589	0.122331703112802	0.0204162578512002
ERR912115	0.0604822511193432	0.113126475019113	0.0302445047729642
ERR912116	0.100055781360344	-0.0212861738288191	-0.0391521444561665
ERR912117	0.0587480266525749	0.0924899426635591	-0.0679694457793955
ERR912118	0.193682291417839	0.00892814578591687	-0.0997713806488501
ERR912119	0.0274591201549263	-0.0384908986588443	0.00850481443746852
ERR912120	0.235190294001897	0.0928893379727389	-0.0802630227775372
ERR912121	0.10699135057538	0.0265539608111724	-0.10003657777822
ERR912122	0.0612736743006261	-0.0248350607516778	-0.0462276191213441
ERR912123	0.255236506870371	0.0112846430559221	-0.0852673241279166
ERR912124	-0.228120832428409	0.0347088706188135	-0.0704399590737426
ERR912125	0.111463699189142	-0.0405596556127738	-0.00902843712485227
ERR912126	-0.0442721490869423	0.224540215786473	0.101119812922188
ERR912127	-0.113051397183493	-0.0787791138021676	0.0775114789869748
ERR912128	0.0654034036970774	-0.0612711341988524	0.0764973368413125
ERR912129	0.0728992094264901	-0.0206543118488268	-0.0382565272308321
ERR912130	0.0179900660695175	0.15452535212509	-0.0474398292691866
ERR912131	0.0476936388415996	0.0649052558744427	0.0609204402281228
ERR912132	0.0185468554690059	-0.12045146865917	0.102030097132127
ERR912133	0.0399794395727969	-0.107231304548238	0.0657488498830908
ERR912134	0.107936582607989	-0.100811765781069	0.0572291374166169
ERR912135	0.0825380885588844	0.107192911223749	-0.045614124273977
ERR912136	-0.209557073555093	0.00122840403994835	-0.0363688879450953
ERR912137	0.109611625027455	0.0257437981554737	-0.116059674862559
ERR912138	-0.178347998228006	-0.0616689553389287	0.0170119984155998
ERR912139	0.0866686820297217	-0.00874167730683325	-0.0672437051393586
ERR912140	0.200374157106279	0.0106821135899756	-0.120616824746556
ERR912141	0.186338284416906	-0.0488412475310348	-0.0270314863800503
ERR912142	-0.387490125184727	-0.0375805209388885	0.0191929693098786
ERR912143	-0.0703742772345258	-0.0617723547025779	0.031593054091898
ERR912144	0.0598187839289434	0.0447953625609042	-0.0921023198363704
ERR912145	-0.126732797304079	-0.0641310593877881	0.0363553399466077
ERR912146	0.164803441288177	0.0635482262890601	-0.0603551788602477
ERR912147	0.0230511257118029	0.00437545668301619	-0.0435720051523574
ERR912148	-0.0935924018353873	0.0180272526010108	-0.0677659972533321
ERR912149	0.059638437311932	-0.00805777377264576	0.0585193330902838
ERR912150	-0.542837902900978	0.0306106668287938	-0.0391546056583221
ERR912151	-0.0320097995364016	0.00644014101582809	-0.0263810612070723
ERR912152	-0.183975380250228	-0.0436528688959555	0.0102821935572982
ERR912153	0.0590515183441492	-0.0180754940359432	-0.0596724786309037
ERR912154	-0.201570771006291	0.0280450920850799	-0.0580602176680212
ERR912155	-0.0819481633589968	0.0640648463430087	-0.0657221342109481
ERR912156	0.0451857373796923	0.0353724109552592	-0.108882916717657
ERR912157	-0.154140631967376	-0.018992589264732	-0.0094609849606839
ERR912158	0.0787160346456861	-0.121543487495054	0.0683954032994373
ERR912159	-0.0741298224838306	-0.0877299243363841	0.0580508883955927
ERR912160	0.176538423540185	-0.0725526693470741	0.0246652336448206
ERR912161	-0.0228174257804936	0.0376062299207725	-0.141866518950868
ERR912162	0.137304088595822	-0.0520952939540501	0.00711094284427463
ERR912163	0.0946956531696093	-0.145520106186138	0.151844027805583
ERR912164	-0.0707217011209232	0.030315605117806	-0.106757940261963
ERR912165	-0.157907102610016	-0.0587093051802142	0.0154985972428697
ERR912166	0.171918323563476	-0.0797085250480683	0.024282263304457
ERR912167	-0.332935950607486	-0.0325525454465273	0.0268795894915825
ERR912168	-0.0123885576129242	-0.025393506723118	0.0165529557230337
ERR912169	0.000698060707652565	-0.0648876029730416	0.00551375637611296
ERR912170	-0.0937602608277777	-0.00944446393610258	-0.03888904850946
ERR912171	0.115689852325077	-0.0592360143977258	0.00826441515547299
ERR912172	0.0533242224748409	-0.119407553060235	0.0711123740665084
ERR912173	-0.186929335815896	-0.00217827359724056	-0.0278698851215877
ERR912174	-0.127220672526484	-0.0573584959820269	0.0403888254898092
ERR912175	-0.089647074775291	0.102052245081914	-0.0689543145395094
ERR912176	0.106350994500112	0.0158202390704084	-0.0132184981806152
ERR912177	0.0978446622102646	-0.0240280709498548	0.00841855562979005
ERR912178	-0.10925015442211	0.0453626919878741	-0.100914278046132
ERR912179	-0.0250908768988316	0.0810900149428779	-0.056430526835454
ERR912180	0.0417264088634994	-0.0895102459859647	0.0315260445371909
ERR912181	0.0793100089526795	0.414783246845671	0.299646586089057
ERR912182	-0.165442787203959	0.0249790186744774	0.0063872475942418
ERR912183	-0.225406600523566	-0.0518796098842057	0.0269779025022059
ERR912184	0.103626565330772	0.0982555176566846	-0.143689175253854
ERR912185	-0.304323636219811	-0.0214655194718317	0.0296237507120562
ERR912186	0.258731885862969	-0.0957579247890966	0.0559446170516514
ERR912187	-0.00790381266533316	-0.02601124237696	-0.0179046664191359
ERR912188	-0.226944097976303	0.014814934588222	-0.0128990127496763
ERR912189	-0.00974999304538637	0.0500161658847034	-0.0564553169882244
ERR912190	-0.010478935515474	0.0977915694873791	0.0829657027953705
ERR912191	-0.166250308251514	0.0175896157446284	-0.0542592725368513
ERR912192	0.213275998263991	0.205155889078318	-0.02335754590868
ERR912193	0.0455425130171506	0.0435790403975919	-0.139415633955531
ERR912194	0.0296123528613779	0.06910808206349	-0.0924813651591057
ERR912195	0.0870216468788574	-0.042899273610991	-0.0225779704734135
ERR912196	-0.126056002388918	-0.0218566544119073	0.0216847277229095
ERR912197	0.107148610753788	-0.159519973017065	0.125477591378627
ERR912198	0.145884768455652	-0.0268637441457511	0.148950375656205
ERR912199	0.0907005818319568	0.0748185334546372	-0.132435641766067
ERR912200	0.241814760545623	-0.183514867787223	0.143496736795989
ERR912201	0.0588522199224005	0.0473053784082918	-0.0753203787594446
ERR912202	-0.0446389917491501	0.0852286108756618	0.1070051138126
